# ANI ranges report for assembly: GCA_001709315.1
# Submitted organism: Pantoea agglomerans (taxid = 549, rank = species, lineage = Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Erwiniaceae; Pantoea; Pantoea agglomerans group)
# Submitted Organism Has Type Assembly: Yes
# Best match: Pantoea agglomerans (taxid = 549, rank = species, lineage = Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Erwiniaceae; Pantoea; Pantoea agglomerans group)
# Status: CONFIRMED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
S	CP016889.1	CIRCULAR	1959189	1960463	4182028	VHJA01000013.1	1	1274	GCA_006494415.1	Pantoea deleyi	96.7843	96	0.0304876
S	CP016889.1	CIRCULAR	1960464	1967821	4182028	MIPO01000022.1	41750	49108	GCA_002095375.1	Pantoea deleyi	96.836	96	0.175943
S	CP016889.1	CIRCULAR	1967822	1970327	4182028	CP071405.1	3557103	3559584	GCA_022647325.1	Pantoea deleyi	92.7888	96	0.0599231
-	CP016889.1	CIRCULAR	1970328	1979364	4182028	CP077366.1	198604	207638	GCA_019048385.1	Pantoea agglomerans	98.3949	96	0.216091
-	CP016889.1	CIRCULAR	1979365	2095467	4182028	CP077366.1	82129	198239	GCA_019048385.1	Pantoea agglomerans	98.3949	96	2.77624
-	CP016889.1	CIRCULAR	2095514	2095980	4182028	CP077366.1	79158	79624	GCA_019048385.1	Pantoea agglomerans	98.9293	96	0.0111668
S	CP016889.1	CIRCULAR	2095981	2096094	4182028	SBFD01000005.1	268774	268887	GCA_014156615.1	Pantoea pleuroti	99.1228	96	0.00272595
-	CP016889.1	CIRCULAR	2096095	2103478	4182028	CP077366.1	69981	77364	GCA_019048385.1	Pantoea agglomerans	98.4832	96	0.176565
-	CP016889.1	CIRCULAR	2103492	2103655	4182028	BCZA01000008.1	133557	133722	GCA_001598475.1	Pantoea agglomerans	94.5783	96	0.00392154
-	CP016889.1	CIRCULAR	2103669	2118465	4182028	CP077366.1	55155	69956	GCA_019048385.1	Pantoea agglomerans	97.4198	96	0.353824
S	CP016889.1	CIRCULAR	2118466	2122585	4182028	RHDS01000003.1	283011	287131	GCA_003710245.1	[Curtobacterium] plantarum	95.1225	96	0.0985168
S	CP016889.1	CIRCULAR	2122684	2122878	4182028	CP038853.1	3524714	3524908	GCA_004792415.1	Pantoea vagans	96.9231	96	0.00466281
S	CP016889.1	CIRCULAR	2122879	2123537	4182028	CP173698.1	3644246	3644906	GCA_046118715.1	Pantoea phytostimulans	89.4578	96	0.0157579
S	CP016889.1	CIRCULAR	2123548	2124383	4182028	VWVM01000021.1	6758	7592	GCA_008632075.1	Candidatus Pantoea gossypiicola	86.77	96	0.0199903
-	CP016889.1	CIRCULAR	2127910	2128422	4182028	CP077366.1	24777	25287	GCA_019048385.1	Pantoea agglomerans	92.2179	96	0.0122668
S	CP016889.1	CIRCULAR	2128423	2128907	4182028	SBFD01000005.1	321704	322188	GCA_014156615.1	Pantoea pleuroti	99.7938	96	0.0115972
-	CP016889.1	CIRCULAR	2128908	2130110	4182028	CP077366.1	23512	24712	GCA_019048385.1	Pantoea agglomerans	88.0696	96	0.0287659
S	CP016889.1	CIRCULAR	2130111	2131574	4182028	SBFD01000005.1	323392	324855	GCA_014156615.1	Pantoea pleuroti	95.6344	96	0.0350069
-	CP016889.1	CIRCULAR	2131575	2135765	4182028	CP077366.1	18922	23114	GCA_019048385.1	Pantoea agglomerans	96.8303	96	0.100215
S	CP016889.1	CIRCULAR	2135766	2135927	4182028	SBFD01000005.1	328907	329068	GCA_014156615.1	Pantoea pleuroti	99.3827	96	0.00387372
-	CP016889.1	CIRCULAR	2135928	2136817	4182028	CP077366.1	17482	18371	GCA_019048385.1	Pantoea agglomerans	96.2921	96	0.0212815
S	CP016889.1	CIRCULAR	2136818	2137781	4182028	SBFD01000005.1	329959	330924	GCA_014156615.1	Pantoea pleuroti	98.0331	96	0.023051
-	CP016889.1	CIRCULAR	2137782	2142298	4182028	CP077366.1	9568	14085	GCA_019048385.1	Pantoea agglomerans	96.3938	96	0.10801
S	CP016889.1	CIRCULAR	2142299	2154286	4182028	SBFD01000005.1	335443	347430	GCA_014156615.1	Pantoea pleuroti	98.6657	96	0.286655
S	CP016889.1	CIRCULAR	2154287	2155819	4182028	CP082292.1	3432750	3434282	GCA_019880205.1	Pantoea alfalfae	81.7057	96	0.0366569
S	CP016889.1	CIRCULAR	2155820	2156100	4182028	DIHB01000005.1	1448	1728	GCA_002419935.1	Candidatus Pantoea rara	86.4769	96	0.00671923
S	CP016889.1	CIRCULAR	2156101	2156388	4182028	CP082292.1	3432181	3432468	GCA_019880205.1	Pantoea alfalfae	81.9444	96	0.00688661
S	CP016889.1	CIRCULAR	2156389	2156539	4182028	DIHB01000005.1	1297	1447	GCA_002419935.1	Candidatus Pantoea rara	86.8182	96	0.00361069
S	CP016889.1	CIRCULAR	2156540	2156827	4182028	DIHB01000005.1	721	1008	GCA_002419935.1	Candidatus Pantoea rara	86.8182	96	0.00688661
S	CP016889.1	CIRCULAR	2156828	2157061	4182028	CP082292.1	3431508	3431741	GCA_019880205.1	Pantoea alfalfae	89.3162	96	0.00559537
S	CP016889.1	CIRCULAR	2157062	2159927	4182028	SBFD01000017.1	525	3390	GCA_014156615.1	Pantoea pleuroti	97.7328	96	0.0685313
-	CP016889.1	CIRCULAR	2159928	2169361	4182028	CP077366.1	1	9433	GCA_019048385.1	Pantoea agglomerans	97.6332	96	0.225584
-	CP016889.1	CIRCULAR	2169362	2192544	4182028	CP077366.1	3976554	3999686	GCA_019048385.1	Pantoea agglomerans	97.6332	96	0.554348
-	CP016889.1	CIRCULAR	2192545	2192873	4182028	BCZA01000011.1	72896	73224	GCA_001598475.1	Pantoea agglomerans	95.7831	96	0.007867
S	CP016889.1	CIRCULAR	2192874	2193072	4182028	RHDS01000001.1	254066	254264	GCA_003710245.1	[Curtobacterium] plantarum	96.9849	96	0.00475846
-	CP016889.1	CIRCULAR	2193073	2239392	4182028	CP077366.1	3929707	3976025	GCA_019048385.1	Pantoea agglomerans	98.1253	96	1.1076
-	CP016889.1	CIRCULAR	2239393	2239531	4182028	CP077366.1	3929179	3929318	GCA_019048385.1	Pantoea agglomerans	98.1253	96	0.00332375
S	CP016889.1	CIRCULAR	2239532	2239667	4182028	RHDS01000003.1	390283	390418	GCA_003710245.1	[Curtobacterium] plantarum	96.3235	96	0.00325201
-	CP016889.1	CIRCULAR	2239668	2266878	4182028	CP077366.1	3901965	3929178	GCA_019048385.1	Pantoea agglomerans	98.3686	96	0.650665
-	CP016889.1	CIRCULAR	2266887	2266997	4182028	CP077366.1	1705204	1705314	GCA_019048385.1	Pantoea agglomerans	88.2883	96	0.00265421
S	CP016889.1	CIRCULAR	2266998	2267152	4182028	CP038853.1	3377947	3378101	GCA_004792415.1	Pantoea vagans	92.9032	96	0.00370634
-	CP016889.1	CIRCULAR	2267153	2280138	4182028	CP077366.1	3888988	3901964	GCA_019048385.1	Pantoea agglomerans	98.2225	96	0.310519
-	CP016889.1	CIRCULAR	2280139	2333023	4182028	CP077366.1	3835945	3888827	GCA_019048385.1	Pantoea agglomerans	98.2225	96	1.26458
S	CP016889.1	CIRCULAR	2333024	2333385	4182028	SBFD01000011.1	52874	53235	GCA_014156615.1	Pantoea pleuroti	98.6188	96	0.00865609
-	CP016889.1	CIRCULAR	2333386	2335062	4182028	CP077366.1	3832853	3834527	GCA_019048385.1	Pantoea agglomerans	96.1837	96	0.0401002
S	CP016889.1	CIRCULAR	2335063	2335878	4182028	SBFD01000011.1	54913	55728	GCA_014156615.1	Pantoea pleuroti	99.8775	96	0.0195121
-	CP016889.1	CIRCULAR	2335879	2339447	4182028	CP077366.1	3829283	3832851	GCA_019048385.1	Pantoea agglomerans	97.9266	96	0.0853414
-	CP016889.1	CIRCULAR	2339471	2369396	4182028	CP077366.1	3799114	3829057	GCA_019048385.1	Pantoea agglomerans	98.0604	96	0.715586
S	CP016889.1	CIRCULAR	2369397	2369609	4182028	SBFD01000011.1	96580	96792	GCA_014156615.1	Pantoea pleuroti	100	96	0.00509322
-	CP016889.1	CIRCULAR	2369610	2408476	4182028	CP077366.1	3758720	3797587	GCA_019048385.1	Pantoea agglomerans	98.5181	96	0.929382
S	CP016889.1	CIRCULAR	2408554	2408700	4182028	CP045720.1	3290506	3290652	GCA_009646115.1	Pantoea eucalypti	84.3537	96	0.00351504
-	CP016889.1	CIRCULAR	2408701	2449400	4182028	CP077366.1	3717820	3758526	GCA_019048385.1	Pantoea agglomerans	98.1113	96	0.973212
S	CP016889.1	CIRCULAR	2449401	2449641	4182028	SBFD01000002.1	780807	781047	GCA_014156615.1	Pantoea pleuroti	94.6058	96	0.00576275
-	CP016889.1	CIRCULAR	2449697	2449875	4182028	CP077366.1	839275	839453	GCA_019048385.1	Pantoea agglomerans	97.2067	96	0.00428022
S	CP016889.1	CIRCULAR	2449876	2450036	4182028	SBFD01000002.1	780448	780608	GCA_014156615.1	Pantoea pleuroti	99.3789	96	0.00384981
-	CP016889.1	CIRCULAR	2450037	2480052	4182028	CP077366.1	3687640	3717676	GCA_019048385.1	Pantoea agglomerans	97.1586	96	0.717738
S	CP016889.1	CIRCULAR	2480053	2480273	4182028	SBFD01000002.1	750221	750441	GCA_014156615.1	Pantoea pleuroti	97.2851	96	0.00528452
S	CP016889.1	CIRCULAR	2480274	2480639	4182028	RHDS01000002.1	748071	748436	GCA_003710245.1	[Curtobacterium] plantarum	96.4481	96	0.00875173
-	CP016889.1	CIRCULAR	2480798	2510675	4182028	CP077366.1	3657642	3687516	GCA_019048385.1	Pantoea agglomerans	97.7116	96	0.714438
-	CP016889.1	CIRCULAR	2510676	2511205	4182028	CP077366.1	3657113	3657641	GCA_019048385.1	Pantoea agglomerans	97.7116	96	0.0126733
-	CP016889.1	CIRCULAR	2511209	2554275	4182028	CP077366.1	3614045	3657109	GCA_019048385.1	Pantoea agglomerans	98.0921	96	1.02981
S	CP016889.1	CIRCULAR	2554276	2554505	4182028	SBFD01000002.1	676498	676727	GCA_014156615.1	Pantoea pleuroti	99.1304	96	0.00549972
-	CP016889.1	CIRCULAR	2554506	2554669	4182028	CP077366.1	3613724	3613887	GCA_019048385.1	Pantoea agglomerans	97.561	96	0.00392154
-	CP016889.1	CIRCULAR	2554686	2609966	4182028	CP077366.1	3558346	3613633	GCA_019048385.1	Pantoea agglomerans	98.5371	96	1.32187
S	CP016889.1	CIRCULAR	2609967	2610098	4182028	SBFD01000002.1	620905	621036	GCA_014156615.1	Pantoea pleuroti	100	96	0.00315636
-	CP016889.1	CIRCULAR	2610099	2628914	4182028	CP077366.1	3539532	3558345	GCA_019048385.1	Pantoea agglomerans	97.1641	96	0.449925
-	CP016889.1	CIRCULAR	2628988	2636632	4182028	CP077366.1	3531730	3539377	GCA_019048385.1	Pantoea agglomerans	98.2348	96	0.182806
S	CP016889.1	CIRCULAR	2636633	2636893	4182028	SBFD01000002.1	594109	594369	GCA_014156615.1	Pantoea pleuroti	74.2424	96	0.00624099
S	CP016889.1	CIRCULAR	2636894	2637945	4182028	JBLWSJ010000001.1	204709	205760	GCA_048452665.1	Pantoea graminicola	92.2127	96	0.0251553
S	CP016889.1	CIRCULAR	2638669	2638979	4182028	JBLWSJ010000002.1	188616	188926	GCA_048452665.1	Pantoea graminicola	89.4569	96	0.00743658
S	CP016889.1	CIRCULAR	2639078	2639218	4182028	MLFN01000001.1	107287	107426	GCA_002095315.1	Pantoea conspicua	98.5816	96	0.00337157
S	CP016889.1	CIRCULAR	2646818	2648779	4182028	SBFD01000002.1	590379	592338	GCA_014156615.1	Pantoea pleuroti	96.7397	96	0.046915
S	CP016889.1	CIRCULAR	2648780	2649015	4182028	RHDS01000002.1	592577	592812	GCA_003710245.1	[Curtobacterium] plantarum	96.2025	96	0.0056432
S	CP016889.1	CIRCULAR	2649017	2649806	4182028	RHDS01000002.1	590307	591102	GCA_003710245.1	[Curtobacterium] plantarum	90.2256	96	0.0188904
S	CP016889.1	CIRCULAR	2649807	2650007	4182028	CP082292.1	2954466	2954663	GCA_019880205.1	Pantoea alfalfae	68.4211	96	0.00480628
S	CP016889.1	CIRCULAR	2650008	2650846	4182028	SBFD01000002.1	588078	588915	GCA_014156615.1	Pantoea pleuroti	98.093	96	0.020062
-	CP016889.1	CIRCULAR	2650847	2654335	4182028	CP077366.1	3503010	3506498	GCA_019048385.1	Pantoea agglomerans	97.1347	96	0.0834284
S	CP016889.1	CIRCULAR	2654336	2661150	4182028	SBFD01000002.1	577794	584588	GCA_014156615.1	Pantoea pleuroti	98.7676	96	0.162959
-	CP016889.1	CIRCULAR	2661151	2716523	4182028	CP077366.1	3443467	3498843	GCA_019048385.1	Pantoea agglomerans	97.7992	96	1.32407
-	CP016889.1	CIRCULAR	2716601	2740353	4182028	CP077366.1	3419693	3443441	GCA_019048385.1	Pantoea agglomerans	98.1479	96	0.567978
S	CP016889.1	CIRCULAR	2740354	2740658	4182028	SBFD01000002.1	498286	498590	GCA_014156615.1	Pantoea pleuroti	99.6721	96	0.00729311
-	CP016889.1	CIRCULAR	2740659	2762289	4182028	CP077366.1	3397729	3419357	GCA_019048385.1	Pantoea agglomerans	98.7844	96	0.517237
S	CP016889.1	CIRCULAR	2762290	2762647	4182028	SBFD01000002.1	476303	476660	GCA_014156615.1	Pantoea pleuroti	99.7207	96	0.00856044
-	CP016889.1	CIRCULAR	2762648	2785017	4182028	CP077366.1	3374599	3396966	GCA_019048385.1	Pantoea agglomerans	98.0253	96	0.534908
-	CP016889.1	CIRCULAR	2785018	2819089	4182028	CP077366.1	3340211	3374300	GCA_019048385.1	Pantoea agglomerans	98.0253	96	0.814724
S	CP016889.1	CIRCULAR	2819090	2819392	4182028	SBFD01000002.1	419541	419843	GCA_014156615.1	Pantoea pleuroti	99.3399	96	0.00724529
-	CP016889.1	CIRCULAR	2819393	2829133	4182028	CP077366.1	3330099	3339841	GCA_019048385.1	Pantoea agglomerans	96.7173	96	0.232925
S	CP016889.1	CIRCULAR	2829134	2838042	4182028	SBFD01000002.1	400892	409801	GCA_014156615.1	Pantoea pleuroti	99.7755	96	0.213031
-	CP016889.1	CIRCULAR	2838043	2842143	4182028	CP077366.1	3324457	3328556	GCA_019048385.1	Pantoea agglomerans	97.7566	96	0.0980625
-	CP016889.1	CIRCULAR	2842204	2884787	4182028	CP077366.1	3281503	3324086	GCA_019048385.1	Pantoea agglomerans	98.0041	96	1.01826
S	CP016889.1	CIRCULAR	2884788	2885122	4182028	SBFD01000002.1	353828	354144	GCA_014156615.1	Pantoea pleuroti	94.0299	96	0.00801047
-	CP016889.1	CIRCULAR	2885123	2899779	4182028	CP077366.1	3266825	3281483	GCA_019048385.1	Pantoea agglomerans	97.8308	96	0.350476
-	CP016889.1	CIRCULAR	2899878	2942982	4182028	CP077366.1	3222476	3265594	GCA_019048385.1	Pantoea agglomerans	98.2005	96	1.03072
-	CP016889.1	CIRCULAR	2942998	2943189	4182028	BCZA01000003.1	390284	390475	GCA_001598475.1	Pantoea agglomerans	96.3542	96	0.00459107
S	CP016889.1	CIRCULAR	2943190	2943473	4182028	SBFD01000002.1	295458	295741	GCA_014156615.1	Pantoea pleuroti	99.6479	96	0.00679096
-	CP016889.1	CIRCULAR	2943474	3040514	4182028	CP077366.1	3125464	3222475	GCA_019048385.1	Pantoea agglomerans	97.7356	96	2.32043
S	CP016889.1	CIRCULAR	3040515	3042087	4182028	SBFD01000002.1	196810	198381	GCA_014156615.1	Pantoea pleuroti	99.555	96	0.0376133
-	CP016889.1	CIRCULAR	3042088	3069914	4182028	CP077366.1	3089999	3117824	GCA_019048385.1	Pantoea agglomerans	97.9168	96	0.665395
-	CP016889.1	CIRCULAR	3069915	3084513	4182028	CP077366.1	3075319	3089920	GCA_019048385.1	Pantoea agglomerans	97.9168	96	0.349089
-	CP016889.1	CIRCULAR	3084529	3090011	4182028	CP077366.1	3069270	3074753	GCA_019048385.1	Pantoea agglomerans	98.1218	96	0.131109
-	CP016889.1	CIRCULAR	3090108	3090308	4182028	CP077366.1	3976353	3976553	GCA_019048385.1	Pantoea agglomerans	96.5174	96	0.00480628
-	CP016889.1	CIRCULAR	3090339	3090586	4182028	CP077366.1	3976075	3976322	GCA_019048385.1	Pantoea agglomerans	96.371	96	0.00593014
-	CP016889.1	CIRCULAR	3090656	3141655	4182028	CP077366.1	3018004	3069023	GCA_019048385.1	Pantoea agglomerans	98.2752	96	1.2195
S	CP016889.1	CIRCULAR	3143130	3143319	4182028	CP082292.1	2474493	2474682	GCA_019880205.1	Pantoea alfalfae	97.8947	96	0.00454325
-	CP016889.1	CIRCULAR	3143320	3143607	4182028	CP077366.1	3012172	3012459	GCA_019048385.1	Pantoea agglomerans	95.8333	96	0.00688661
S	CP016889.1	CIRCULAR	3143608	3146368	4182028	RHDS01000002.1	99644	102405	GCA_003710245.1	[Curtobacterium] plantarum	98.2983	96	0.0660206
-	CP016889.1	CIRCULAR	3146369	3166331	4182028	CP077366.1	2990809	3010772	GCA_019048385.1	Pantoea agglomerans	98.237	96	0.477352
S	CP016889.1	CIRCULAR	3169277	3169612	4182028	MLFN01000063.1	20303	20641	GCA_002095315.1	Pantoea conspicua	87.9056	96	0.00803438
S	CP016889.1	CIRCULAR	3170493	3171275	4182028	MLFN01000063.1	17142	17931	GCA_002095315.1	Pantoea conspicua	79.1771	96	0.018723
-	CP016889.1	CIRCULAR	3171276	3221078	4182028	CP077366.1	2939535	2989334	GCA_019048385.1	Pantoea agglomerans	97.7258	96	1.19088
S	CP016889.1	CIRCULAR	3221079	3222252	4182028	FOVG01000001.1	1526521	1527694	GCA_900115075.1	Candidatus Pantoea varia	92.5297	96	0.0280725
S	CP016889.1	CIRCULAR	3222253	3222973	4182028	CP038853.1	2412886	2413606	GCA_004792415.1	Pantoea vagans	94.7295	96	0.0172404
-	CP016889.1	CIRCULAR	3222974	3237907	4182028	CP077366.1	2921508	2936443	GCA_019048385.1	Pantoea agglomerans	97.4022	96	0.357099
S	CP016889.1	CIRCULAR	3237908	3239182	4182028	CP071405.1	2359455	2360732	GCA_022647325.1	Pantoea deleyi	81.8394	96	0.0304876
S	CP016889.1	CIRCULAR	3239183	3239605	4182028	SBFD01000001.1	805583	806014	GCA_014156615.1	Pantoea pleuroti	72.3596	96	0.0101147
S	CP016889.1	CIRCULAR	3239612	3240853	4182028	SBFD01000001.1	806877	808110	GCA_014156615.1	Pantoea pleuroti	85.5422	96	0.0296985
S	CP016889.1	CIRCULAR	3240854	3241370	4182028	CP045720.1	2421941	2422456	GCA_009646115.1	Pantoea eucalypti	84.5857	96	0.0123624
-	CP016889.1	CIRCULAR	3241371	3246136	4182028	CP077366.1	2914590	2919355	GCA_019048385.1	Pantoea agglomerans	96.7688	96	0.113964
S	CP016889.1	CIRCULAR	3247086	3247413	4182028	FOVG01000001.1	1499283	1499600	GCA_900115075.1	Candidatus Pantoea varia	82.1752	96	0.00784308
-	CP016889.1	CIRCULAR	3247414	3258104	4182028	CP077366.1	2900597	2911288	GCA_019048385.1	Pantoea agglomerans	97.4002	96	0.255642
S	CP016889.1	CIRCULAR	3258105	3283692	4182028	SBFD01000001.1	751712	777349	GCA_014156615.1	Pantoea pleuroti	99.4305	96	0.611856
-	CP016889.1	CIRCULAR	3283693	3295594	4182028	CP077366.1	2888553	2900434	GCA_019048385.1	Pantoea agglomerans	97.9126	96	0.284599
-	CP016889.1	CIRCULAR	3295595	3307785	4182028	CP077366.1	2876132	2888322	GCA_019048385.1	Pantoea agglomerans	97.9126	96	0.291509
S	CP016889.1	CIRCULAR	3307786	3319760	4182028	SBFD01000001.1	715662	727637	GCA_014156615.1	Pantoea pleuroti	98.2298	96	0.286344
S	CP016889.1	CIRCULAR	3319770	3319907	4182028	CP082292.1	2318861	2318998	GCA_019880205.1	Pantoea alfalfae	91.3043	96	0.00329983
S	CP016889.1	CIRCULAR	3319968	3320086	4182028	RHDS01000001.1	927825	927943	GCA_003710245.1	[Curtobacterium] plantarum	95.7983	96	0.00284551
-	CP016889.1	CIRCULAR	3320171	3320385	4182028	CP077366.1	2875770	2875984	GCA_019048385.1	Pantoea agglomerans	97.2093	96	0.00514105
-	CP016889.1	CIRCULAR	3320403	3320575	4182028	CP077366.1	2875580	2875752	GCA_019048385.1	Pantoea agglomerans	98.8439	96	0.00413675
S	CP016889.1	CIRCULAR	3320576	3320705	4182028	SBFD01000001.1	715362	715491	GCA_014156615.1	Pantoea pleuroti	99.2308	96	0.00310854
-	CP016889.1	CIRCULAR	3320706	3321168	4182028	CP077366.1	2875024	2875486	GCA_019048385.1	Pantoea agglomerans	97.9741	96	0.0110712
-	CP016889.1	CIRCULAR	3321169	3330034	4182028	CP077366.1	2865192	2874057	GCA_019048385.1	Pantoea agglomerans	97.9741	96	0.212002
S	CP016889.1	CIRCULAR	3330035	3331744	4182028	SBFD01000001.1	704323	706032	GCA_014156615.1	Pantoea pleuroti	99.4737	96	0.0408893
-	CP016889.1	CIRCULAR	3331745	3447290	4182028	CP077366.1	2749350	2864908	GCA_019048385.1	Pantoea agglomerans	97.8725	96	2.76292
-	CP016889.1	CIRCULAR	3447342	3458535	4182028	CP077366.1	2738176	2749349	GCA_019048385.1	Pantoea agglomerans	97.3292	96	0.267669
S	CP016889.1	CIRCULAR	3458536	3458673	4182028	SBFD01000001.1	577447	577584	GCA_014156615.1	Pantoea pleuroti	94.2029	96	0.00329983
-	CP016889.1	CIRCULAR	3458674	3469092	4182028	CP077366.1	2727790	2738175	GCA_019048385.1	Pantoea agglomerans	96.7959	96	0.249137
S	CP016889.1	CIRCULAR	3469110	3469313	4182028	SBFD01000001.1	567411	567614	GCA_014156615.1	Pantoea pleuroti	95.5882	96	0.00487802
-	CP016889.1	CIRCULAR	3469385	3491618	4182028	CP077366.1	2705187	2727436	GCA_019048385.1	Pantoea agglomerans	97.9776	96	0.531656
S	CP016889.1	CIRCULAR	3491619	3492048	4182028	CP082292.1	2152201	2152630	GCA_019880205.1	Pantoea alfalfae	97.6744	96	0.0102821
S	CP016889.1	CIRCULAR	3492049	3492312	4182028	RHDS01000001.1	757557	757821	GCA_003710245.1	[Curtobacterium] plantarum	96.9811	96	0.00631273
-	CP016889.1	CIRCULAR	3492313	3497524	4182028	CP077366.1	2699088	2704298	GCA_019048385.1	Pantoea agglomerans	98.5421	96	0.124629
-	CP016889.1	CIRCULAR	3533088	3543606	4182028	CP077366.1	2688569	2699087	GCA_019048385.1	Pantoea agglomerans	97.6994	96	0.251529
-	CP016889.1	CIRCULAR	3543613	3556773	4182028	CP077366.1	2675060	2688237	GCA_019048385.1	Pantoea agglomerans	97.504	96	0.314704
S	CP016889.1	CIRCULAR	3556774	3569985	4182028	FOVG01000001.1	1212068	1225283	GCA_900115075.1	Candidatus Pantoea varia	94.3743	96	0.315923
S	CP016889.1	CIRCULAR	3569986	3570330	4182028	CP082297.1	50127	50470	GCA_019880205.1	Pantoea alfalfae	65.5556	96	0.00824959
S	CP016889.1	CIRCULAR	3570331	3577979	4182028	FOVG01000001.1	1204053	1211722	GCA_900115075.1	Candidatus Pantoea varia	94.2273	96	0.182902
-	CP016889.1	CIRCULAR	3577980	3583417	4182028	CP077366.1	2669280	2674717	GCA_019048385.1	Pantoea agglomerans	96.7451	96	0.130033
S	CP016889.1	CIRCULAR	3583418	3584593	4182028	SBFD01000001.1	505978	507154	GCA_014156615.1	Pantoea pleuroti	99.8301	96	0.0281203
-	CP016889.1	CIRCULAR	3584594	3626063	4182028	CP077366.1	2627690	2669164	GCA_019048385.1	Pantoea agglomerans	97.3297	96	0.991624
-	CP016889.1	CIRCULAR	3626064	3627038	4182028	CP077366.1	2625336	2626313	GCA_019048385.1	Pantoea agglomerans	97.3297	96	0.023314
S	CP016889.1	CIRCULAR	3627039	3628629	4182028	SBFD01000001.1	461911	463496	GCA_014156615.1	Pantoea pleuroti	98.4287	96	0.0380437
-	CP016889.1	CIRCULAR	3628630	3638882	4182028	CP077366.1	2614907	2625186	GCA_019048385.1	Pantoea agglomerans	96.124	96	0.245168
S	CP016889.1	CIRCULAR	3638883	3639041	4182028	SBFD01000001.1	451545	451708	GCA_014156615.1	Pantoea pleuroti	91.5152	96	0.00380198
-	CP016889.1	CIRCULAR	3639042	3660516	4182028	CP077366.1	2593424	2614903	GCA_019048385.1	Pantoea agglomerans	97.091	96	0.513507
S	CP016889.1	CIRCULAR	3660517	3660817	4182028	SBFD01000001.1	429768	430066	GCA_014156615.1	Pantoea pleuroti	98.0066	96	0.00719746
-	CP016889.1	CIRCULAR	3660818	3676751	4182028	CP077366.1	2577477	2593419	GCA_019048385.1	Pantoea agglomerans	97.5795	96	0.381011
S	CP016889.1	CIRCULAR	3676752	3677057	4182028	SBFD01000001.1	413528	413833	GCA_014156615.1	Pantoea pleuroti	99.3464	96	0.00731702
-	CP016889.1	CIRCULAR	3677058	3693247	4182028	CP077366.1	2560985	2577197	GCA_019048385.1	Pantoea agglomerans	98.0574	96	0.387133
-	CP016889.1	CIRCULAR	3693338	3701233	4182028	CP077366.1	2553113	2560984	GCA_019048385.1	Pantoea agglomerans	97.0249	96	0.188808
S	CP016889.1	CIRCULAR	3701234	3701383	4182028	SBFD01000001.1	389411	389520	GCA_014156615.1	Pantoea pleuroti	72.6667	96	0.00358678
-	CP016889.1	CIRCULAR	3701384	3717909	4182028	CP077366.1	2536518	2553043	GCA_019048385.1	Pantoea agglomerans	97.7518	96	0.395167
-	CP016889.1	CIRCULAR	3717910	3734825	4182028	CP077366.1	2519033	2535938	GCA_019048385.1	Pantoea agglomerans	97.7518	96	0.404493
-	CP016889.1	CIRCULAR	3734903	3735077	4182028	BCZA01000001.1	275805	275979	GCA_001598475.1	Pantoea agglomerans	96.5714	96	0.00418457
-	CP016889.1	CIRCULAR	3735078	3735179	4182028	CP077366.1	2989816	2989916	GCA_019048385.1	Pantoea agglomerans	95.098	96	0.00243901
-	CP016889.1	CIRCULAR	3735232	3748988	4182028	CP077366.1	2505279	2519032	GCA_019048385.1	Pantoea agglomerans	97.3957	96	0.328955
-	CP016889.1	CIRCULAR	3748989	3757490	4182028	CP077366.1	2495328	2503828	GCA_019048385.1	Pantoea agglomerans	97.3957	96	0.203298
S	CP016889.1	CIRCULAR	3757491	3763503	4182028	SBFD01000001.1	324982	330991	GCA_014156615.1	Pantoea pleuroti	98.9689	96	0.143782
-	CP016889.1	CIRCULAR	3763504	3796968	4182028	CP077366.1	2453695	2487177	GCA_019048385.1	Pantoea agglomerans	97.9161	96	0.80021
-	CP016889.1	CIRCULAR	3796969	3842846	4182028	CP077366.1	2407588	2453461	GCA_019048385.1	Pantoea agglomerans	97.9161	96	1.09703
-	CP016889.1	CIRCULAR	3842847	3882988	4182028	CP077366.1	2367100	2407249	GCA_019048385.1	Pantoea agglomerans	97.9161	96	0.959869
S	CP016889.1	CIRCULAR	3882989	3883501	4182028	SBFD01000001.1	205358	205870	GCA_014156615.1	Pantoea pleuroti	99.8051	96	0.0122668
-	CP016889.1	CIRCULAR	3883502	3910553	4182028	CP077366.1	2337237	2364308	GCA_019048385.1	Pantoea agglomerans	97.5069	96	0.646863
